srcStateName,srcYear,srcMonth,GST ( Goods and Service Tax ) Return Type,Payer eligible for GST ( Goods and Service Tax ) registration,GST ( Goods and Service Tax ) Payers registered before due date,GST ( Goods and Service Tax ) Payers registered after due date,YearCode,Year,MonthCode,Month
Puducherry,2017-18,Aug-2017,GSTR-1,9277,7407,995,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Dadra and Nagar Haveli,2017-18,Aug-2017,GSTR-1,3208,2837,98,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Lakshadweep,2017-18,Aug-2017,GSTR-1,152,51,16,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Uttarakhand,2017-18,Aug-2017,GSTR-1,34516,23113,2807,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Uttarakhand,2017-18,Aug-2017,GSTR-3,94845,26778,62055,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Uttar Pradesh,2017-18,Aug-2017,GSTR-3,835866,353698,446718,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Telangana,2017-18,Aug-2017,GSTR-3,223860,63297,148209,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Tripura,2017-18,Aug-2017,GSTR-3,15567,3316,11257,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Mizoram,2017-18,Aug-2017,GSTR-3,2976,562,2113,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Delhi,2017-18,Aug-2017,GSTR-1,156654,131398,7888,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Kerala,2017-18,Aug-2017,GSTR-1,127093,107843,11525,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Manipur,2017-18,Aug-2017,GSTR-3,5619,787,4032,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Maharashtra,2017-18,Aug-2017,GSTR-1,336894,274069,22567,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Chandigarh,2017-18,Aug-2017,GSTR-3,22318,12862,9411,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Bihar,2017-18,Aug-2017,GSTR-3,213585,56009,138222,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Chandigarh,2017-18,Aug-2017,GSTR-1,9277,7966,354,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Nagaland,2017-18,Aug-2017,GSTR-3,4679,564,3389,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Arunachal Pradesh,2017-18,Aug-2017,GSTR-3,5300,716,3912,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Karnataka,2017-18,Aug-2017,GSTR-3,530355,209672,309462,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Arunachal Pradesh,2017-18,Aug-2017,GSTR-1,2893,1654,417,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Haryana,2017-18,Aug-2017,GSTR-1,106224,90425,3473,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
