srcStateName,srcYear,srcMonth,Type of supply,E-way suppliers,E-way bills,E-way asset value,YearCode,Year,MonthCode,Month
MAHARASHTRA,2019-20,Apr - 2019,Inter State Inwards,179541,2261121,97362.564321849,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
DADRA AND NAGAR HAVELI,2019-20,Apr - 2019,Inter State Inwards,2980,109577,7024.545637877,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
DAMAN AND DIU,2019-20,Apr - 2019,Inter State Inwards,2358,72530,4895.470556794,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
GUJARAT,2019-20,Apr - 2019,Inter State Inwards,114589,1331592,60063.792404726,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MADHYA PRADESH,2019-20,Apr - 2019,Inter State Inwards,64995,854387,23456.991308605,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
CHHATTISGARH,2019-20,Apr - 2019,Inter State Inwards,21666,349936,10181.653451009,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
ODISHA,2019-20,Apr - 2019,Inter State Inwards,27239,351629,13343.082987977,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
JHARKHAND,2019-20,Apr - 2019,Inter State Inwards,23419,357384,11201.880456463,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
WEST BENGAL,2019-20,Apr - 2019,Inter State Inwards,56187,919611,47138.461165073,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
ASSAM,2019-20,Apr - 2019,Inter State Inwards,22960,256408,8544.957833055,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MEGHALAYA,2019-20,Apr - 2019,Inter State Inwards,2965,31147,708.180879772,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
TRIPURA,2019-20,Apr - 2019,Inter State Inwards,3435,29330,713.293006972,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MIZORAM,2019-20,Apr - 2019,Inter State Inwards,1515,22051,355.716985288,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
JAMMU AND KASHMIR,2019-20,Apr - 2019,Intra State,4434,163532,2659.018045494,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
HIMACHAL PRADESH,2019-20,Apr - 2019,Intra State,7051,233800,4582.563242021,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
PUNJAB,2019-20,Apr - 2019,Intra State,49582,1196147,27612.052475972,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
CHANDIGARH,2019-20,Apr - 2019,Intra State,2120,27823,396.81209781,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
UTTARAKHAND,2019-20,Apr - 2019,Intra State,10254,534887,9201.311462712,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
HARYANA,2019-20,Apr - 2019,Intra State,57469,2384441,42717.824489652,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
DELHI,2019-20,Apr - 2019,Intra State,53106,799958,27950.478993946,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
RAJASTHAN,2019-20,Apr - 2019,Intra State,62271,1422441,30248.870357834,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
UTTAR PRADESH,2019-20,Apr - 2019,Intra State,101748,3126383,60659.106652474,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
BIHAR,2019-20,Apr - 2019,Intra State,6303,338831,7113.480490921,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
SIKKIM,2019-20,Apr - 2019,Intra State,105,3206,56.236815123,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
ARUNACHAL PRADESH,2019-20,Apr - 2019,Intra State,96,1899,25.07479648,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
NAGALAND,2019-20,Apr - 2019,Intra State,61,875,42.350745852,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MANIPUR,2019-20,Apr - 2019,Intra State,49,2927,51.359108609,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MIZORAM,2019-20,Apr - 2019,Intra State,24,897,9.278551072,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
TRIPURA,2019-20,Apr - 2019,Intra State,722,16780,271.437040969,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MEGHALAYA,2019-20,Apr - 2019,Intra State,264,11657,180.207938236,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
ASSAM,2019-20,Apr - 2019,Intra State,10225,381040,6735.060733393,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
WEST BENGAL,2019-20,Apr - 2019,Intra State,35969,1250449,35140.406729071,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
JHARKHAND,2019-20,Apr - 2019,Intra State,8145,388604,8740.726110767,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
ODISHA,2019-20,Apr - 2019,Intra State,11403,641366,12757.716770003,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
CHHATTISGARH,2019-20,Apr - 2019,Intra State,4959,172001,5098.991643101,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MADHYA PRADESH,2019-20,Apr - 2019,Intra State,15347,308282,7626.20781325,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
GUJARAT,2019-20,Apr - 2019,Intra State,108324,2875155,83070.05696155,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
DAMAN AND DIU,2019-20,Apr - 2019,Intra State,1080,32943,900.547176505,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
DADRA AND NAGAR HAVELI,2019-20,Apr - 2019,Intra State,1238,51059,1668.538207982,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MAHARASHTRA,2019-20,Apr - 2019,Intra State,113342,4431764,110954.91746268,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
KARNATAKA,2019-20,Apr - 2019,Intra State,78494,2797829,49404.307064305,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
GOA,2019-20,Apr - 2019,Intra State,1431,65581,1056.929526921,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
LAKSHADWEEP,2019-20,Apr - 2019,Intra State,0,0,0,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
KERALA,2019-20,Apr - 2019,Intra State,30594,1015788,14919.158348053,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MANIPUR,2019-20,Apr - 2019,Inter State Inwards,2257,24822,574.736414678,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
TAMIL NADU,2019-20,Apr - 2019,Intra State,71175,3222342,64691.321972102,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
PUDUCHERRY,2019-20,Apr - 2019,Intra State,889,31436,865.42988161,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
ANDAMAN AND NICOBAR,2019-20,Apr - 2019,Intra State,15,181,4.67560393,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
