ROWID,Country,State lgd code,State,YearCode,Year,MonthCode,Month,Type of supply,E-way suppliers,E-way bills,E-way asset value
1,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018",Inter State Inwards,15111.11715809092229820463,148674.65188120021350280313,44672376970.5356876671131150619819
2,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018",Inter State Outwards,1673.57896676118635848457,25180.95670385738259078128,21944413803.9146588711811795268787
3,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018",Intra State,3101.64751817634245631477,118342.86710080021994546443,20381924597.8200503704024793127165
4,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018",Inter State Inwards,16650.69243201383715983801,176232.46240693350658517851,50448408189.833307698121193390085
5,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018",Inter State Outwards,1952.34577303058326799252,29711.65090259368604636312,24804234973.7601709472048845175858
6,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018",Intra State,3220.00114469773553017604,123353.82270963573000654944,21966584481.992420220840127779263
7,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018",Inter State Inwards,16591.02655418073817218894,181999.51184470320545696403,51259242712.3930897781649624183638
8,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018",Inter State Outwards,2067.76501211756163754318,29489.61558672297342019363,21668464027.1005930612671998612204
9,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018",Intra State,3407.80194050027660605508,127544.12796597992776210052,23356232867.1273656882269488271844
10,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018",Inter State Inwards,17334.40470423246326421014,198283.40584741520457797579,50265949471.4343498642372917364318
11,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018",Inter State Outwards,2223.28754614154096600551,32089.48285361440143939409,21135773011.1000489247803166507622
12,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018",Intra State,3701.24068394174703711608,132472.92072665182610248845,24899582062.3441425922543385958182
13,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018",Inter State Inwards,16390.51007949573337763059,161539.00639367427720051737,43384425578.4510713888329866281049
14,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018",Inter State Outwards,2034.50862119419498868960,26119.96068287008797017648,17132078448.0046350331377790843965
15,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018",Intra State,3766.77533664367543338637,121038.59102388252830547815,21310982419.4089650875522274832033
16,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018",Inter State Inwards,15785.04813886149938820806,149987.30119352839123108267,42197623696.5604916571572004515886
17,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018",Inter State Outwards,2206.65935067985764157872,28893.93493753678844513980,17549405904.3622352065495023005888
18,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018",Intra State,4138.46441166953797939697,127698.67237085910218912598,22008431388.8376644634236236175999
19,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019",Inter State Inwards,14600.53374450276374815849,135331.99221691655300245946,3877.5288997099344230831601
20,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019",Inter State Outwards,2039.39926691821949587395,27012.01446293215808060192,1695.7629357653615230727816
21,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019",Intra State,3974.13871534231453800281,114398.07225980205245056772,1973.082110900447178454164
22,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019",Inter State Inwards,13812.16165379001319004127,122501.87222451066085503567,3536.9834566546599388225009
23,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019",Inter State Outwards,1859.42350427411763148987,24821.98330771398376344999,1584.8430907444857001317236
24,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019",Intra State,3633.74977295020883797205,93178.53859240452067910994,1602.5765721397985631821767
25,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019",Inter State Inwards,17270.82630982014467081359,192699.26655972402227488496,5232.7855175858136579527573
26,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019",Inter State Outwards,2294.69097371229877089702,31475.21775067692333703973,1986.5118240586184751823891
27,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019",Intra State,4510.15348669540052540757,158121.42316172595158009359,2996.1660712005818853627092
28,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019",Inter State Inwards,17408.74251923763577341226,187895.67432958715131841639,5050.87204538653317383684715838134
29,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019",Inter State Outwards,2061.89623724873222892196,28781.45008588422477989975,1915.26239894365897010058013774971
30,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019",Intra State ,4337.02462806493297108158,159955.41530823514177422484,2600.86304685984672261737962896378
31,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019",Inter State Inwards,17925.19470769462373207962,189996.69573262807960481315,5219.4524916621965526474005781605
32,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019",Inter State Outwards,2100.04327389612338495989,31282.52630915035775397634,2245.65908998194867199970990578756
33,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019",Intra State ,4678.39169960184357254921,167230.73988729399866166390,2755.90512787289931436608849768383
34,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019",Inter State Inwards,16650.69243201383715983801,165991.45026082618854114961,4854.72709086244564584301271570397
35,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019",Inter State Outwards,1996.36158454680383265167,30376.77872106101902343472,2326.0965553973941015094764716656
36,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019",Intra State ,4509.17535755059562397070,156440.01916180632601011406,2619.49568298578368283095175289827
37,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201907,"July, 2019",Inter State Inwards,16994.99389098516246561625,177876.69749935054590055698,5101.51754193092332559310554930935
38,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201907,"July, 2019",Inter State Outwards,2138.19031054351454099782,32065.02962499427890347234,2480.44270837234835091701417171082
39,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201907,"July, 2019",Intra State ,4601.11949716225635903648,165540.53272507112897875254,2758.7528408394481234929287562457
40,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201908,"August, 2019",Inter State Inwards,12139.56081617363173299357,105274.08359706193184744436,3443.81739329351898934197945286912
41,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201908,"August, 2019",Inter State Outwards,1447.63113431125412656760,27376.85663394438631655443,2217.41007799148018236437578510206
42,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201908,"August, 2019",Intra State ,3277.71076424122471495137,91136.20493805188647892538,1637.93886020426386885783501066433
43,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201909,"September, 2019",Inter State Inwards,13794.55532918352496417761,144275.02698786776683976187,3929.39285187183676655603815827416
44,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201909,"September, 2019",Inter State Outwards,1557.18159852940308749704,29160.96419406852653740531,2171.1676536147646161495621941429
45,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201909,"September, 2019",Intra State ,2324.03484805644581400312,85353.50543396530918414994,1592.05629146977082858171642764968
46,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201910,"October, 2019",Inter State Inwards,16400.29137094378239199929,195000.80443744995535584007,4391.45338128903119716696942501369
47,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201910,"October, 2019",Inter State Outwards,1648.14760899625892112595,27610.62949955275775996636,1886.99133174510692741788295503101
