srcStateName,srcYear,srcMonth,Settlement of Integrated goods and services tax ( IGST ),YearCode,Year,MonthCode,Month
Meghalaya,2017-18,Aug - 2017,12.33203566,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Assam,2017-18,Aug - 2017,121.128944887,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
West Bengal,2017-18,Aug - 2017,329.732899296,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Jammu and Kashmir,2017-18,Aug - 2017,83.416209933,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Uttar Pradesh,2017-18,Aug - 2017,1553.760259468,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Andaman and Nicobar Islands,2017-18,Aug - 2017,2.176033214,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Andhra Pradesh,2017-18,Aug - 2017,386.41,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Puducherry,2017-18,Aug - 2017,21.070885549,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Telangana,2017-18,Aug - 2017,418.553260299,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Chandigarh,2017-18,Aug - 2017,34.907894399,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Tripura,2017-18,Aug - 2017,15.950627469,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Mizoram,2017-18,Aug - 2017,6.538387603,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Manipur,2017-18,Aug - 2017,11.099198551,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Nagaland,2017-18,Aug - 2017,8.150066566,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Arunachal Pradesh,2017-18,Aug - 2017,9.742984068,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Himachal Pradesh,2017-18,Aug - 2017,63.515337668,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Uttarakhand,2017-18,Aug - 2017,-40.988784233,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Tamil Nadu,2017-18,Aug - 2017,462.469753825,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Kerala,2017-18,Aug - 2017,451.742269355,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Haryana,2017-18,Aug - 2017,-286.673182849,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Lakshadweep,2017-18,Aug - 2017,0.920581973,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
Goa,2017-18,Aug - 2017,36.423539868,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
