ROWID,Country,State LGD Code,State,YearCode,Year,MonthCode,Month,Settlement of Integrated goods and services tax ( IGST )
1,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017",81.59182608463141458532126642971
2,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017",139.444544324720662974461301021
3,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017",191.53949005206351772758800221801
4,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017",204.687282599666852772089519229
5,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017",182.624871964343120036806950097
6,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201801,"January, 2018",219.619016741375424976180812449
7,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018",176.447123313742791617945006009
8,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201803,"March, 2018",174.910004513354139785780181327
9,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018",204.957129944077688265884795386
10,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201805,"May, 2018",192.573320499154824595090417686
11,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201806,"June, 2018",213.416629506682033492574831496
12,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018",213.024797818177203611274767586
13,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018",220.84348802527889632229988318427
14,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018",216.110333397454490770141127572
15,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018",221.094746396003660545345089565
16,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018",259.769781948593311922914556228
17,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018",228.050197606792293176960732006
18,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019",221.791969957351134675225279623
19,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019",163.70840473718940290278063575767
20,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019",263.232941499295479847749868626
21,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019",246.97016158792906829013467182
22,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019",240.003154857236625033433990886
23,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019",265.784563622061465388968296433
24,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201907,"July, 2019",278.9230624002794925124899825
25,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201908,"August, 2019",165.73160935249630157510689181426767
26,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201909,"September, 2019",121.500977612924997739673239185
27,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201910,"October, 2019",125.011784279593474425752081458
28,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201911,"November, 2019",194.484740664076369423533291077
29,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019",337.45455495769099572015
30,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",267.02925653173809226551
31,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202002,"February, 2020",249.911996497652317120285
32,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202003,"March, 2020",207.153680134420158290133176562
33,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020",32.69
34,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202005,"May, 2020",101.31
35,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202006,"June, 2020",144
36,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202007,"July, 2020",277.354471841
37,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202008,"August, 2020",238.844346009
38,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202009,"September, 2020",293.845225273
39,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202010,"October, 2020",401.258447338
40,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",299.749336191
41,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",311.411794745
42,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202101,"January, 2021",290.923992
43,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202102,"February, 2021",243.669495542
44,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202103,"March, 2021",251.48657466
45,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021",364.379359451
46,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202105,"May, 2021",181.405530964
47,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202106,"June, 2021",246.869929699
