srcStateName,srcYear,srcMonth,Central Goods and Services Tax ( CGST ) Revenue,State Goods and Services Tax ( SGST )Revenue,Integrated Goods and Services Tax ( IGST )Revenue,CESS Tax Revenue,YearCode,Year,MonthCode,Month
Gujarat,2018-19,Apr-2018,1701.2786914,2133.4005052,2190.054514,303.9012717,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Jammu and Kashmir,2018-19,Apr-2018,115.2195907,179.6171643,73.9837846,3.236023,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Himachal Pradesh,2018-19,Apr-2018,88.9976766,136.0273675,420.8512768,1.4776635,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Punjab,2018-19,Apr-2018,310.7997426,498.892481,432.6105509,16.9955532,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Chandigarh,2018-19,Apr-2018,33.7296003,46.4495431,101.4381839,0.2345281,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Uttarakhand,2018-19,Apr-2018,211.5451491,355.894709,924.7760059,22.560781,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Haryana,2018-19,Apr-2018,713.3451362,1100.3166704,2982.0378743,334.2225105,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Delhi,2018-19,Apr-2018,1104.771594,1331.5652073,1682.8511816,78.8082267,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Rajasthan,2018-19,Apr-2018,659.2523603,903.8752928,903.7504439,141.8250106,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Uttar Pradesh,2018-19,Apr-2018,1333.8073805,2119.3125713,1545.2722532,1029.8221797,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Bihar,2018-19,Apr-2018,205.9085418,425.0507894,108.9029621,173.6850592,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Sikkim,2018-19,Apr-2018,11.581942,15.7365388,123.2235067,0.0017444,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Arunachal Pradesh,2018-19,Apr-2018,12.8587217,16.5303152,3.2409188,0.5150581,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Nagaland,2018-19,Apr-2018,4.4329982,7.2390867,5.1178104,0.172562,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Manipur,2018-19,Apr-2018,13.8957644,18.4244025,1.4850173,0.0308901,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Mizoram,2018-19,Apr-2018,5.8832014,9.4137331,1.9556099,0.0430771,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Tripura,2018-19,Apr-2018,16.9535451,25.4795653,3.2234347,0.0607523,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Meghalaya,2018-19,Apr-2018,23.658506,32.7970361,92.3087284,3.6443658,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
West Bengal,2018-19,Apr-2018,1017.0639331,1359.8544847,925.6416535,388.1641398,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Jharkhand,2018-19,Apr-2018,348.6993283,489.6615679,1045.3517199,504.8150366,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Odisha,2018-19,Apr-2018,449.8938838,640.1590847,495.9366833,583.7086423,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Chattisgarh,2018-19,Apr-2018,338.4303375,415.6428411,633.3494901,502.2396624,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Madhya Pradesh,2018-19,Apr-2018,525.8862627,717.0520018,646.8433197,454.5571878,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Maharashtra,2018-19,Apr-2018,4254.0616751,5382.5550434,5963.5908937,1125.6340456,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Karnataka,2018-19,Apr-2018,1608.179425,2192.427157,2640.190911,906.4502413,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Goa,2018-19,Apr-2018,89.3905036,122.1252453,137.4726109,3.4837973,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Lakshadweep,2018-19,Apr-2018,1.1743792,1.2607564,0.0924236,0,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Kerala,2018-19,Apr-2018,457.5142062,702.0746848,232.5592922,4.0158774,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Tamil Nadu,2018-19,Apr-2018,1499.2820233,2096.0786874,2395.6038196,674.9750022,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Puducherry,2018-19,Apr-2018,20.6717692,31.383934,117.9798218,0.2242301,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Andaman and Nicobar Island,2018-19,Apr-2018,21.2654377,27.0566218,1.6888315,0.0254118,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Telangana,2018-19,Apr-2018,715.3489943,1021.3213368,1122.8624062,513.6417464,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Andhra Pradesh,2018-19,Apr-2018,529.4279731,812.4554767,883.3891257,25.8884246,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Daman and Diu,2018-19,Apr-2018,10.4056486,14.8313567,67.1321881,0.0038978,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Punjab,2021-22,Feb-2022,367.37,516.98,584.59,11.21,2022,"Calendar Year (Jan - Dec), 2022",202202,"February, 2022"
Dadra and Nagar Haveli,2018-19,Apr-2018,18.3479567,26.4276651,120.4309629,0.1360035,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Delhi,2019-20,Apr-2019,912.336065,1146.0265433,2205.0432537,78.43365,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Himachal Pradesh,2019-20,Apr-2019,111.0876728,169.2605998,418.7776485,0.9945708,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Punjab,2019-20,Apr-2019,365.4392925,553.8730254,438.8725458,16.1008809,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Chandigarh,2019-20,Apr-2019,34.6343932,48.2352476,116.6592944,0.4306119,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Uttarakhand,2019-20,Apr-2019,218.7970648,369.6381659,1004.9590529,23.8904805,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Jammu and Kashmir,2019-20,Apr-2019,116.3490919,198.7759493,63.9685336,3.0382614,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Ladakh,2019-20,Apr-2019,0,0,0,0,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Andhra Pradesh,2019-20,Apr-2019,677.6548934,924.0387958,925.2484753,32.2723526,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Telangana,2019-20,Apr-2019,834.3930843,1144.8846258,997.194437,533.6959791,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Andaman and Nicobar Island,2019-20,Apr-2019,14.4612182,20.1092653,3.0569305,0.094475,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Puducherry,2019-20,Apr-2019,20.5648523,32.0209578,119.6741439,0.9905015,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Tamil Nadu,2019-20,Apr-2019,1678.891272,2415.1821551,2122.1835287,554.9298723,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Kerala,2019-20,Apr-2019,509.1143963,843.6874986,408.8340389,4.5532306,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Lakshadweep,2019-20,Apr-2019,1.262636,1.4287708,0.0862782,0,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Goa,2019-20,Apr-2019,107.637154,157.3391104,146.9033943,3.3441862,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Karnataka,2019-20,Apr-2019,1913.6706931,2483.0711898,2651.1354685,957.1981469,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Maharashtra,2019-20,Apr-2019,4717.8634616,5860.8285722,6369.7190371,1176.1840029,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
